,Token,Counts,Type
233,time_manipulation,4036,Tag
234,real_time_tactics,4024,Tag
235,character_action_game,3999,Tag
236,2.5d,3996,Tag
237,warhammer_40k,3893,Tag
238,trains,3803,Tag
239,souls_like,3792,Tag
240,soccer,3710,Tag
241,satire,3700,Tag
242,mouse_only,3649,Tag
243,god_game,3622,Tag
244,sniper,3556,Tag
245,offroad,3477,Tag
246,audio_production,3435,Tag
247,crpg,3402,Tag
248,unforgiving,3374,Tag
249,mythology,3345,Tag
250,game_development,3317,Tag
251,software,3316,Tag
252,otome,3316,Tag
253,on_rails_shooter,3303,Tag
254,supernatural,3273,Tag
255,psychedelic,3268,Tag
256,fishing,3260,Tag
257,trading_card_game,3259,Tag
258,based_on_a_novel,3236,Tag
259,emotional,3134,Tag
260,politics,3083,Tag
261,football,3016,Tag
262,score_attack,2974,Tag
263,inventory_management,2958,Tag
264,vampire,2917,Tag
265,gothic,2907,Tag
266,cold_war,2842,Tag
267,touch_friendly,2839,Tag
268,games_workshop,2836,Tag
269,text_based,2826,Tag
270,tactical_rpg,2806,Tag
271,3d_vision,2722,Tag
272,wargame,2711,Tag
273,software_training,2675,Tag
274,world_war_i,2671,Tag
275,trackir,2620,Tag
276,bullet_time,2572,Tag
277,horses,2505,Tag
278,parody_,2499,Tag
279,rome,2467,Tag
280,strategy_rpg,2434,Tag
281,lara_croft,2417,Tag
282,villain_protagonist,2351,Tag
283,nsfw,2333,Tag
284,silent_protagonist,2328,Tag
285,thriller,2323,Tag
286,gamemaker,2287,Tag
287,martial_arts,2275,Tag
288,capitalism,2150,Tag
289,dynamic_narration,2112,Tag
290,diplomacy,2093,Tag
291,programming,2082,Tag
292,bowling,2014,Tag
293,dark_comedy,1887,Tag
294,runner,1858,Tag
295,fmv,1839,Tag
296,logic,1813,Tag
297,grid_based_movement,1793,Tag
298,3d,1744,Tag
299,crowdfunded,1708,Tag
300,co_op_campaign,1683,Tag
301,conspiracy,1666,Tag
302,cats,1664,Tag
303,time_attack,1653,Tag
304,music_based_procedural_generation,1587,Tag
305,web_publishing,1450,Tag
306,modern,1410,Tag
307,basketball,1371,Tag
308,philisophical,1369,Tag
309,time_management,1340,Tag
310,photo_editing,1340,Tag
311,nonlinear,1312,Tag
312,mars,1296,Tag
313,mining,1168,Tag
314,typing,1161,Tag
315,soundtrack,1130,Tag
316,chess,1101,Tag
317,transhumanism,1076,Tag
318,benchmark,1072,Tag
319,golf,1003,Tag
320,asynchronous_multiplayer,959,Tag
321,faith,940,Tag
322,investigation,926,Tag
323,movie,907,Tag
324,mini_golf,888,Tag
325,pinball,872,Tag
326,6dof,847,Tag
327,sailing,812,Tag
328,dungeons_&_dragons,785,Tag
329,word_game,686,Tag
330,gambling,669,Tag
331,intentionally_awkward_controls,622,Tag
332,sokoban,606,Tag
333,artificial_intelligence,596,Tag
334,experience,585,Tag
335,minigames,580,Tag
336,documentary,551,Tag
337,vr_only,546,Tag
338,jet,540,Tag
339,underground,525,Tag
340,werewolves,510,Tag
341,tennis,479,Tag
342,wrestling,478,Tag
343,mystery_dungeon,468,Tag
344,baseball,458,Tag
345,motocross,424,Tag
346,motorbike,394,Tag
347,gaming,366,Tag
348,lemmings,361,Tag
349,tutorial,354,Tag
350,submarine,351,Tag
351,sequel,350,Tag
352,conversation,334,Tag
353,bikes,303,Tag
354,skateboarding,284,Tag
355,pool,250,Tag
356,spelling,249,Tag
357,hockey,204,Tag
358,snow,200,Tag
359,voice_control,168,Tag
360,360_video,168,Tag
361,steam_machine,157,Tag
362,snowboarding,153,Tag
363,cycling,126,Tag
364,bmx,113,Tag
365,atv,105,Tag
366,skiing,97,Tag
367,foreign,62,Tag
368,hardware,50,Tag
369,skating,46,Tag
370,feature_film,10,Tag
371,Single-player,25678,Category
372,Steam Achievements,14130,Category
373,Steam Trading Cards,7918,Category
374,Steam Cloud,7219,Category
375,Full controller support,5695,Category
376,Partial Controller Support,4234,Category
377,Multi-player,3974,Category
378,Steam Leaderboards,3439,Category
379,Online Multi-Player,2487,Category
380,Shared/Split Screen,2152,Category
381,Stats,1878,Category
382,Co-op,1721,Category
383,Local Multi-Player,1615,Category
384,Cross-Platform Multiplayer,1081,Category
385,Online Co-op,1071,Category
386,Local Co-op,1059,Category
387,Includes level editor,1036,Category
388,Steam Workshop,897,Category
389,Captions available,721,Category
390,In-App Purchases,690,Category
391,MMO,421,Category
392,VR Support,231,Category
393,Commentary available,144,Category
394,Valve Anti-Cheat enabled,94,Category
395,Steam Turn Notifications,63,Category
396,SteamVR Collectibles,40,Category
397,Includes Source SDK,35,Category
398,Mods,2,Category
399,Mods (require HL2),1,Category
400,Indie,19421,Genre
401,Action,11903,Genre
402,Casual,10210,Genre
403,Adventure,10032,Genre
404,Strategy,5247,Genre
405,Simulation,5194,Genre
406,RPG,4311,Genre
407,Early Access,2954,Genre
408,Free to Play,1704,Genre
409,Sports,1322,Genre
410,Racing,1024,Genre
411,Violent,843,Genre
412,Massively Multiplayer,723,Genre
413,Gore,537,Genre
414,Nudity,266,Genre
415,Sexual Content,245,Genre
416,Utilities,146,Genre
417,Design & Illustration,87,Genre
418,Animation & Modeling,79,Genre
419,Education,51,Genre
420,Video Production,38,Genre
421,Software Training,31,Genre
422,Audio Production,29,Genre
423,Web Publishing,28,Genre
424,Game Development,17,Genre
425,Photo Editing,12,Genre
426,Accounting,6,Genre
427,Documentary,1,Genre
428,Tutorial,1,Genre
